yil,aldigi_sehir,sehir,sayi
2014,Amasya,Tokat,775
2014,Amasya,Trabzon,159
2014,Amasya,Tunceli,25
2014,Amasya,Uşak,16
2014,Amasya,Van,87
2014,Amasya,Yalova,25
2014,Amasya,Yozgat,111
2014,Amasya,Zonguldak,54
2014,Ankara,Adana,2319
2014,Ankara,Adıyaman,451
2014,Ankara,Afyonkarahisar,1480
2014,Ankara,Ağrı,876
2014,Ankara,Aksaray,1374
2014,Ankara,Amasya,1153
2014,Ankara,Antalya,6900
2014,Ankara,Ardahan,396
2014,Ankara,Artvin,773
2014,Ankara,Aydın,4932
2014,Ankara,Balıkesir,4943
2014,Ankara,Bartın,907
2014,Ankara,Batman,693
2014,Ankara,Bayburt,301
2014,Ankara,Bilecik,411
2014,Ankara,Bingöl,481
2014,Ankara,Bitlis,613
2014,Ankara,Bolu,2143
2014,Ankara,Burdur,349
2014,Ankara,Bursa,3560
2014,Ankara,Çanakkale,1327
2014,Ankara,Çankırı,4898
2014,Ankara,Çorum,3660
2014,Ankara,Denizli,1123
2014,Ankara,Diyarbakır,2408
2014,Ankara,Düzce,775
2014,Ankara,Edirne,530
2014,Ankara,Elazığ,988
2014,Ankara,Erzincan,921
2014,Ankara,Erzurum,1959
2014,Ankara,Eskişehir,3797
2014,Ankara,Gaziantep,1627
2014,Ankara,Giresun,837
2014,Ankara,Gümüşhane,1662
2014,Ankara,Hakkari,536
2014,Ankara,Hatay,1638
2014,Ankara,Iğdır,457
2014,Ankara,Isparta,1082
2014,Ankara,İstanbul,18688
2014,Ankara,İzmir,10160
2014,Ankara,Kahramanmaraş,956
2014,Ankara,Karabük,1450
2014,Ankara,Karaman,416
2014,Ankara,Kars,864
2014,Ankara,Kastamonu,1416
2014,Ankara,Kayseri,3251
2014,Ankara,Kilis,120
2014,Ankara,Kırıkkale,5190
2014,Ankara,Kırklareli,541
2014,Ankara,Kırşehir,2137
2014,Ankara,Kocaeli,2764
2014,Ankara,Konya,6261
2014,Ankara,Kütahya,997
2014,Ankara,Malatya,1517
2014,Ankara,Manisa,1182
2014,Ankara,Mardin,1071
2014,Ankara,Mersin,3905
2014,Ankara,Muğla,5559
2014,Ankara,Muş,528
2014,Ankara,Nevşehir,1003
2014,Ankara,Niğde,988
2014,Ankara,Ordu,1471
2014,Ankara,Osmaniye,583
2014,Ankara,Rize,989
2014,Ankara,Sakarya,1706
2014,Ankara,Samsun,2552
2014,Ankara,Şanlıurfa,1976
2014,Ankara,Siirt,460
2014,Ankara,Sinop,573
2014,Ankara,Şırnak,852
2014,Ankara,Sivas,3045
2014,Ankara,Tekirdağ,1105
2014,Ankara,Tokat,1844
2014,Ankara,Trabzon,1958
2014,Ankara,Tunceli,496
2014,Ankara,Uşak,408
2014,Ankara,Van,1845
2014,Ankara,Yalova,600
2014,Ankara,Yozgat,3472
2014,Ankara,Zonguldak,1433
2014,Antalya,Adana,1564
2014,Antalya,Adıyaman,445
2014,Antalya,Afyonkarahisar,1429
2014,Antalya,Ağrı,182
2014,Antalya,Aksaray,439
2014,Antalya,Amasya,164
2014,Antalya,Ankara,5147
2014,Antalya,Ardahan,48
2014,Antalya,Artvin,143
2014,Antalya,Aydın,1225
2014,Antalya,Balıkesir,676
2014,Antalya,Bartın,92
2014,Antalya,Batman,390
2014,Antalya,Bayburt,109
2014,Antalya,Bilecik,118
2014,Antalya,Bingöl,109
2014,Antalya,Bitlis,167
2014,Antalya,Bolu,212
2014,Antalya,Burdur,2514
2014,Antalya,Bursa,1257
2014,Antalya,Çanakkale,387
2014,Antalya,Çankırı,158
2014,Antalya,Çorum,356
2014,Antalya,Denizli,1499
2014,Antalya,Diyarbakır,947
2014,Antalya,Düzce,131
2014,Antalya,Edirne,147
2014,Antalya,Elazığ,305
2014,Antalya,Erzincan,262
2014,Antalya,Erzurum,487
2014,Antalya,Eskişehir,1080
2014,Antalya,Gaziantep,1191
2014,Antalya,Giresun,288
2014,Antalya,Gümüşhane,408
2014,Antalya,Hakkari,121
2014,Antalya,Hatay,1565
2014,Antalya,Iğdır,94
2014,Antalya,Isparta,3190
2014,Antalya,İstanbul,8758
2014,Antalya,İzmir,3295
2014,Antalya,Kahramanmaraş,926
2014,Antalya,Karabük,192
2014,Antalya,Karaman,552
2014,Antalya,Kars,159
2014,Antalya,Kastamonu,168
2014,Antalya,Kayseri,1132
2014,Antalya,Kilis,126
2014,Antalya,Kırıkkale,286
2014,Antalya,Kırklareli,164
2014,Antalya,Kırşehir,246
2014,Antalya,Kocaeli,811
2014,Antalya,Konya,3607
2014,Antalya,Kütahya,608
2014,Antalya,Malatya,431
2014,Antalya,Manisa,929
2014,Antalya,Mardin,461
2014,Antalya,Mersin,1720
2014,Antalya,Muğla,2084
2014,Antalya,Muş,169
2014,Antalya,Nevşehir,257
2014,Antalya,Niğde,301
2014,Antalya,Ordu,331
2014,Antalya,Osmaniye,560
2014,Antalya,Rize,170
2014,Antalya,Sakarya,407
2014,Antalya,Samsun,554
2014,Antalya,Şanlıurfa,1447
2014,Antalya,Siirt,118
2014,Antalya,Sinop,107
2014,Antalya,Şırnak,238
2014,Antalya,Sivas,646
2014,Antalya,Tekirdağ,404
2014,Antalya,Tokat,370
2014,Antalya,Trabzon,397
2014,Antalya,Tunceli,111
2014,Antalya,Uşak,599
2014,Antalya,Van,917
2014,Antalya,Yalova,186
2014,Antalya,Yozgat,314
2014,Antalya,Zonguldak,327
2014,Ardahan,Adana,65
2014,Ardahan,Adıyaman,23
2014,Ardahan,Afyonkarahisar,49
2014,Ardahan,Ağrı,31
2014,Ardahan,Aksaray,6
2014,Ardahan,Amasya,33
2014,Ardahan,Ankara,612
2014,Ardahan,Antalya,76
2014,Ardahan,Artvin,83
2014,Ardahan,Aydın,30
2014,Ardahan,Balıkesir,71
2014,Ardahan,Bartın,18
2014,Ardahan,Batman,28
2014,Ardahan,Bayburt,18
2014,Ardahan,Bilecik,31
2014,Ardahan,Bingöl,8
2014,Ardahan,Bitlis,5
2014,Ardahan,Bolu,24
2014,Ardahan,Burdur,14
2014,Ardahan,Bursa,561
2014,Ardahan,Çanakkale,48
2014,Ardahan,Çankırı,28
2014,Ardahan,Çorum,15
2014,Ardahan,Denizli,26
2014,Ardahan,Diyarbakır,46
2014,Ardahan,Düzce,22
2014,Ardahan,Edirne,32
2014,Ardahan,Elazığ,56
2014,Ardahan,Erzincan,28
2014,Ardahan,Erzurum,222
2014,Ardahan,Eskişehir,40
2014,Ardahan,Gaziantep,45
2014,Ardahan,Giresun,37
2014,Ardahan,Gümüşhane,28
2014,Ardahan,Hakkari,15
2014,Ardahan,Hatay,49
2014,Ardahan,Iğdır,104
2014,Ardahan,Isparta,29
2014,Ardahan,İstanbul,3008
2014,Ardahan,İzmir,322
2014,Ardahan,Kahramanmaraş,45
2014,Ardahan,Karabük,7
2014,Ardahan,Karaman,15
2014,Ardahan,Kars,206
2014,Ardahan,Kastamonu,35
2014,Ardahan,Kayseri,54
2014,Ardahan,Kilis,2
2014,Ardahan,Kırıkkale,15
2014,Ardahan,Kırklareli,9
2014,Ardahan,Kırşehir,16
2014,Ardahan,Kocaeli,561
2014,Ardahan,Konya,62
2014,Ardahan,Kütahya,22
2014,Ardahan,Malatya,34
2014,Ardahan,Manisa,41
2014,Ardahan,Mardin,25
2014,Ardahan,Mersin,51
2014,Ardahan,Muğla,39
2014,Ardahan,Muş,18
2014,Ardahan,Nevşehir,8
2014,Ardahan,Niğde,17
2014,Ardahan,Ordu,38
2014,Ardahan,Osmaniye,17
2014,Ardahan,Rize,72
2014,Ardahan,Sakarya,49
2014,Ardahan,Samsun,70
2014,Ardahan,Şanlıurfa,67
2014,Ardahan,Siirt,12
2014,Ardahan,Sinop,21
2014,Ardahan,Şırnak,19
2014,Ardahan,Sivas,38
2014,Ardahan,Tekirdağ,124
2014,Ardahan,Tokat,41
2014,Ardahan,Trabzon,76
2014,Ardahan,Tunceli,4
2014,Ardahan,Uşak,17
2014,Ardahan,Van,32
2014,Ardahan,Yalova,26
2014,Ardahan,Yozgat,13
2014,Ardahan,Zonguldak,29
2014,Artvin,Adana,96
2014,Artvin,Adıyaman,21
2014,Artvin,Afyonkarahisar,36
2014,Artvin,Ağrı,58
2014,Artvin,Aksaray,12
2014,Artvin,Amasya,38
2014,Artvin,Ankara,936
2014,Artvin,Antalya,147
2014,Artvin,Ardahan,60
2014,Artvin,Aydın,77
2014,Artvin,Balıkesir,87
2014,Artvin,Bartın,17
2014,Artvin,Batman,21
2014,Artvin,Bayburt,26
2014,Artvin,Bilecik,27
2014,Artvin,Bingöl,45
2014,Artvin,Bitlis,15
2014,Artvin,Bolu,24
2014,Artvin,Burdur,10
2014,Artvin,Bursa,1261
2014,Artvin,Çanakkale,68
2014,Artvin,Çankırı,25
2014,Artvin,Çorum,34
2014,Artvin,Denizli,52
2014,Artvin,Diyarbakır,54
2014,Artvin,Düzce,27
2014,Artvin,Edirne,23
2014,Artvin,Elazığ,50
2014,Artvin,Erzincan,38
2014,Artvin,Erzurum,458
2014,Artvin,Eskişehir,122
2014,Artvin,Gaziantep,51
2014,Artvin,Giresun,161
2014,Artvin,Gümüşhane,44
2014,Artvin,Hakkari,10
2014,Artvin,Hatay,50
2014,Artvin,Iğdır,22
2014,Artvin,Isparta,33
2014,Artvin,İstanbul,1491
2014,Artvin,İzmir,328
2014,Artvin,Kahramanmaraş,48
2014,Artvin,Karabük,50
