"yil","aldigi_sehir","sehir","sayi"
"","","Göç Alan:Eskişehir","40"
"","","Göç Alan:Gaziantep","45"
"","","Göç Alan:Giresun","37"
"","","Göç Alan:Gümüşhane","28"
"","","Göç Alan:Hakkari","15"
"","","Göç Alan:Hatay","49"
"","","Göç Alan:Iğdır","104"
"","","Göç Alan:Isparta","29"
"","","Göç Alan:İstanbul","3008"
"","","Göç Alan:İzmir","322"
"","","Göç Alan:Kahramanmaraş","45"
"","","Göç Alan:Karabük","7"
"","","Göç Alan:Karaman","15"
"","","Göç Alan:Kars","206"
"","","Göç Alan:Kastamonu","35"
"","","Göç Alan:Kayseri","54"
"","","Göç Alan:Kilis","2"
"","","Göç Alan:Kırıkkale","15"
"","","Göç Alan:Kırklareli","9"
"","","Göç Alan:Kırşehir","16"
"","","Göç Alan:Kocaeli","561"
"","","Göç Alan:Konya","62"
"","","Göç Alan:Kütahya","22"
"","","Göç Alan:Malatya","34"
"","","Göç Alan:Manisa","41"
"","","Göç Alan:Mardin","25"
"","","Göç Alan:Mersin","51"
"","","Göç Alan:Muğla","39"
"","","Göç Alan:Muş","18"
"","","Göç Alan:Nevşehir","8"
"","","Göç Alan:Niğde","17"
"","","Göç Alan:Ordu","38"
"","","Göç Alan:Osmaniye","17"
"","","Göç Alan:Rize","72"
"","","Göç Alan:Sakarya","49"
"","","Göç Alan:Samsun","70"
"","","Göç Alan:Şanlıurfa","67"
"","","Göç Alan:Siirt","12"
"","","Göç Alan:Sinop","21"
"","","Göç Alan:Şırnak","19"
"","","Göç Alan:Sivas","38"
"","","Göç Alan:Tekirdağ","124"
"","","Göç Alan:Tokat","41"
"","","Göç Alan:Trabzon","76"
"","","Göç Alan:Tunceli","4"
"","","Göç Alan:Uşak","17"
"","","Göç Alan:Van","32"
"","","Göç Alan:Yalova","26"
"","","Göç Alan:Yozgat","13"
"","","Göç Alan:Zonguldak","29"
"","Artvin-8","Göç Alan:Adana","96"
"","","Göç Alan:Adıyaman","21"
