"cinsiyet","","","yil","il","sayi",""
"","","","","Gümüşhane(Kürtün)-1971","88",""
"","","","","Gümüşhane(Merkez)-1369","346",""
"","","","","Gümüşhane(Şiran)-1660","99",""
"","","","","Gümüşhane(Torul)-1684","75",""
"","","","","Hakkari(Çukurca)-1261","149",""
"","","","","Hakkari(Merkez)-1377","930",""
"","","","","Hakkari(Şemdinli)-1656","803",""
"","","","","Hakkari(Yüksekova)-1737","1390",""
"","","","","Hatay(Altınözü)-1131","840",""
"","","","","Hatay(Antakya)-2080","4115",""
"","","","","Hatay(Arsuz)-2081","833",""
"","","","","Hatay(Belen)-1887","283",""
"","","","","Hatay(Defne)-2082","1291",""
"","","","","Hatay(Dörtyol)-1289","1290",""
"","","","","Hatay(Erzin)-1792","412",""
"","","","","Hatay(Hassa)-1382","591",""
"","","","","Hatay(İskenderun)-1413","2197",""
"","","","","Hatay(Kırıkhan)-1468","1289",""
"","","","","Hatay(Kumlu)-1970","168",""
"","","","","Hatay(Payas)-2083","431",""
"","","","","Hatay(Reyhanlı)-1585","1349",""
"","","","","Hatay(Samandağ)-1591","1249",""
"","","","","Hatay(Yayladağı)-1721","281",""
"","","","","Iğdır(Aralık)-1142","314",""
"","","","","Iğdır(Karakoyunlu)-2011","152",""
"","","","","Iğdır(Merkez)-1398","1693",""
"","","","","Iğdır(Tuzluca)-1692","281",""
"","","","","Isparta(Aksu)-1755","17",""
"","","","","Isparta(Atabey)-1154","32",""
"","","","","Isparta(Eğirdir)-1297","218",""
"","","","","Isparta(Gelendost)-1341","81",""
"","","","","Isparta(Gönen)-1929","50",""
"","","","","Isparta(Keçiborlu)-1456","78",""
"","","","","Isparta(Merkez)-1401","1675",""
"","","","","Isparta(Şarkikaraağaç)-1651","145",""
"","","","","Isparta(Senirkent)-1615","59",""
"","","","","Isparta(Sütçüler)-1648","58",""
"","","","","Isparta(Uluborlu)-1699","40",""
"","","","","Isparta(Yalvaç)-1717","320",""
"","","","","Isparta(Yenişarbademli)-2001","6",""
"","","","","İstanbul(Adalar)-1103","76",""
"","","","","İstanbul(Arnavutköy)-2048","2607",""
